epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,5044.01,0.71345,1.1858,0.43378,1.02619,0,0.85358,0.84722,0.85422,0.68119,0.82783,0.81438,0.80336,0.4184,1.05814,1.61765,0.65051,1.22445,0,0.000354368,0.000354368,0.000354368
83,5099.29,0.71383,1.17919,0.42296,1.0155,0,0.85185,0.85699,0.85814,0.68876,0.8268,0.8279,0.81849,0.43443,1.04285,1.62903,0.62203,1.22108,0,0.000346151,0.000346151,0.000346151
84,5156.44,0.71029,1.16319,0.42756,1.01725,0,0.83484,0.84957,0.84774,0.67829,0.84137,0.8025,0.80326,0.4303,1.05131,1.6563,0.65279,1.22993,0,0.00033796,0.00033796,0.00033796
85,5210.82,0.70569,1.17294,0.41976,1.01795,0,0.83324,0.84397,0.84714,0.68408,0.84572,0.80129,0.80434,0.42889,1.03964,1.59587,0.62252,1.21612,0,0.000329797,0.000329797,0.000329797
86,5266.91,0.75434,1.20663,0.43576,1.02617,0,0.83791,0.8466,0.84733,0.67741,0.81287,0.81254,0.79952,0.42515,1.069,1.64279,0.64627,1.2273,0,0.000321667,0.000321667,0.000321667
87,5322.96,0.7526,1.23021,0.43875,1.0347,0,0.86441,0.83832,0.84605,0.67732,0.83423,0.80112,0.79382,0.42096,1.0516,1.58705,0.63836,1.2264,0,0.000313573,0.000313573,0.000313573
88,5379.29,0.70472,1.15475,0.42484,1.01999,0,0.83587,0.84632,0.84689,0.68088,0.81571,0.80428,0.80231,0.42651,1.06051,1.65047,0.64682,1.22525,0,0.000305519,0.000305519,0.000305519
89,5435.32,0.69727,1.15636,0.40885,1.01345,0,0.84872,0.84506,0.85043,0.67722,0.83187,0.81729,0.81226,0.42504,1.06558,1.65438,0.64447,1.23851,0,0.000297508,0.000297508,0.000297508
90,5494.18,0.69841,1.12644,0.40393,1.00632,0,0.83199,0.83092,0.83942,0.67185,0.82311,0.78912,0.79279,0.42332,1.06658,1.64017,0.64948,1.2356,0,0.000289543,0.000289543,0.000289543
91,5551.27,0.71868,1.17042,0.41654,1.00659,0,0.84186,0.83305,0.84444,0.67815,0.82239,0.80535,0.80336,0.43028,1.06461,1.63669,0.64725,1.23224,0,0.000281629,0.000281629,0.000281629
92,5610.08,0.65055,1.10943,0.38293,0.98603,0,0.8379,0.82922,0.84516,0.67736,0.81671,0.80467,0.80118,0.42181,1.06207,1.638,0.65389,1.23389,0,0.000273769,0.000273769,0.000273769
93,5664.66,0.68791,1.15177,0.40092,1.00955,0,0.8477,0.83848,0.84121,0.67745,0.83454,0.81408,0.8031,0.43342,1.06307,1.63451,0.6386,1.24368,0,0.000265965,0.000265965,0.000265965
94,5719.67,0.68664,1.1145,0.39783,1.00016,0,0.83388,0.83257,0.84927,0.68011,0.82007,0.80932,0.8106,0.43138,1.06895,1.68202,0.63881,1.24319,0,0.000258223,0.000258223,0.000258223
95,5773.31,0.65939,1.10045,0.38924,0.98331,0,0.84861,0.84928,0.84915,0.68205,0.82637,0.81686,0.80678,0.43689,1.04806,1.6477,0.64018,1.2322,0,0.000250544,0.000250544,0.000250544
96,5829.28,0.66505,1.09741,0.38336,0.99344,0,0.85595,0.84743,0.84817,0.68561,0.83377,0.81136,0.80178,0.43763,1.06058,1.64584,0.63114,1.22917,0,0.000242932,0.000242932,0.000242932
97,5886.3,0.65974,1.11403,0.38856,0.99445,0,0.85811,0.84644,0.84832,0.6822,0.83746,0.81042,0.80272,0.43491,1.05541,1.68422,0.62187,1.23502,0,0.000235391,0.000235391,0.000235391
98,5940.49,0.64939,1.11753,0.39376,0.99683,0,0.8461,0.8443,0.84832,0.68255,0.85631,0.79318,0.80434,0.43336,1.05769,1.63344,0.62192,1.23825,0,0.000227924,0.000227924,0.000227924
99,5997.5,0.63064,1.05886,0.36466,0.97837,0,0.85098,0.84212,0.84569,0.67843,0.82433,0.80974,0.79524,0.43084,1.07238,1.66552,0.62549,1.24127,0,0.000220535,0.000220535,0.000220535
100,6054.27,0.68728,1.10518,0.38329,0.99299,0,0.84269,0.83384,0.83717,0.67502,0.81767,0.8083,0.80065,0.43586,1.06826,1.67787,0.64994,1.2481,0,0.000213226,0.000213226,0.000213226
101,6110.25,0.64956,1.07742,0.37596,0.98507,0,0.85394,0.83282,0.84159,0.67827,0.82789,0.80071,0.79074,0.42646,1.0587,1.67228,0.65319,1.23737,0,0.000206,0.000206,0.000206
102,6168.27,0.65785,1.08674,0.37656,0.97325,0,0.85714,0.85036,0.85596,0.68958,0.83852,0.81392,0.81244,0.43703,1.05986,1.64869,0.60783,1.23847,0,0.000198861,0.000198861,0.000198861
103,6226.06,0.66774,1.11606,0.37641,0.99348,0,0.86132,0.83446,0.84781,0.68064,0.85289,0.80781,0.80951,0.43356,1.06236,1.67382,0.63004,1.23861,0,0.000191813,0.000191813,0.000191813
104,6282.23,0.66557,1.09796,0.37844,0.98606,0,0.85661,0.84584,0.84275,0.67954,0.84092,0.82126,0.81032,0.43507,1.06609,1.64987,0.63483,1.25436,0,0.000184857,0.000184857,0.000184857
105,6339.3,0.68523,1.10581,0.3819,0.9954,0,0.85583,0.83683,0.85261,0.68436,0.84563,0.798,0.80857,0.42569,1.07588,1.67287,0.64796,1.25652,0,0.000177997,0.000177997,0.000177997
106,6397.79,0.66955,1.10193,0.37481,0.98997,0,0.85013,0.84621,0.84252,0.68056,0.84555,0.80605,0.79895,0.43312,1.08045,1.68431,0.64016,1.25288,0,0.000171237,0.000171237,0.000171237
107,6453.22,0.66338,1.09445,0.36658,0.98084,0,0.85776,0.83995,0.84663,0.68126,0.83246,0.81326,0.80942,0.43524,1.0732,1.68782,0.63123,1.2459,0,0.000164579,0.000164579,0.000164579
108,6508.87,0.63222,1.04822,0.362,0.9777,0,0.85807,0.83023,0.84326,0.67576,0.84272,0.80053,0.80642,0.43231,1.07678,1.71079,0.64782,1.25472,0,0.000158025,0.000158025,0.000158025
109,6563.68,0.62884,1.05751,0.35678,0.97254,0,0.83672,0.8432,0.8397,0.67173,0.84088,0.79315,0.79754,0.43631,1.07245,1.70525,0.63918,1.25659,0,0.00015158,0.00015158,0.00015158
110,6620.71,0.67385,1.08066,0.36871,0.97363,0,0.84315,0.85266,0.84993,0.67991,0.84302,0.80059,0.80485,0.43665,1.08018,1.6702,0.63225,1.25765,0,0.000145245,0.000145245,0.000145245
111,6675.57,0.65389,1.06381,0.35548,0.96966,0,0.85337,0.85021,0.84519,0.67794,0.8342,0.80561,0.79392,0.43113,1.08535,1.70333,0.64297,1.27232,0,0.000139024,0.000139024,0.000139024
112,6732.19,0.64548,1.06308,0.35985,0.97397,0,0.85107,0.85497,0.8473,0.68005,0.83034,0.8146,0.80157,0.42904,1.07976,1.70043,0.6389,1.26839,0,0.000132919,0.000132919,0.000132919
113,6787.35,0.61275,1.02687,0.34421,0.96202,0,0.84541,0.85219,0.84645,0.67832,0.82778,0.81169,0.79929,0.43085,1.07219,1.65907,0.62626,1.26243,0,0.000126933,0.000126933,0.000126933
114,6842.79,0.63959,1.03678,0.35154,0.97558,0,0.84978,0.84754,0.8432,0.67535,0.818,0.80573,0.78911,0.42463,1.07422,1.71473,0.63923,1.26431,0,0.000121069,0.000121069,0.000121069
115,6898.28,0.6106,1.0199,0.35144,0.9686,0,0.85778,0.84451,0.84214,0.67485,0.83847,0.8106,0.80203,0.42381,1.08128,1.69771,0.64685,1.26324,0,0.000115328,0.000115328,0.000115328
116,6954.18,0.62219,1.00985,0.34505,0.9749,0,0.85209,0.85085,0.8464,0.68111,0.8427,0.80928,0.8055,0.42975,1.06946,1.71869,0.62942,1.26119,0,0.000109715,0.000109715,0.000109715
117,7009.6,0.57143,0.99196,0.32771,0.95015,0,0.83495,0.85153,0.8348,0.67285,0.83083,0.79654,0.78598,0.42755,1.07508,1.6929,0.65913,1.26478,0,0.00010423,0.00010423,0.00010423
118,7067.2,0.6038,0.98786,0.33228,0.95662,0,0.84826,0.84304,0.84228,0.6773,0.82308,0.80104,0.79762,0.43202,1.076,1.6988,0.65596,1.26691,0,9.88768e-05,9.88768e-05,9.88768e-05
119,7123.73,0.62474,1.03242,0.34628,0.97069,0,0.83746,0.84948,0.84583,0.67761,0.81972,0.81154,0.80018,0.43278,1.08889,1.72926,0.64772,1.26943,0,9.36574e-05,9.36574e-05,9.36574e-05
120,7177.36,0.58178,0.96546,0.33096,0.94738,0,0.84256,0.8425,0.84414,0.67847,0.82628,0.80844,0.80269,0.43076,1.08221,1.7282,0.65144,1.27251,0,8.85742e-05,8.85742e-05,8.85742e-05
121,7232.39,0.60534,0.98974,0.33643,0.96542,0,0.84065,0.85098,0.84176,0.67665,0.82679,0.81225,0.79952,0.43329,1.09608,1.73151,0.64705,1.27807,0,8.36293e-05,8.36293e-05,8.36293e-05
